Timestamp,Artifact ID,Language,Content Type,Status,Duration (s),S3 Key,Error
2026-03-01T09:05:43.059Z,hanging-pillar,en,audio_guide,failed,,,A dynamic import callback was invoked without --experimental-vm-modules
2026-03-01T09:05:46.223Z,hanging-pillar,en,video,failed,,,Validation failed: Video duration too short: ~1s (min: 60s)
