Artifact ID,Language,Content Type,Error,Retry Count,Timestamp,Recommended Action
hanging-pillar,en,audio_guide,A dynamic import callback was invoked without --experimental-vm-modules,2,2026-02-24T14:33:40.034Z,"Review error details and retry. If the issue persists, check logs for more information or contact support."
hanging-pillar,en,video,Validation failed: Video duration too short: ~1s (min: 60s),2,2026-02-24T14:33:43.108Z,Review artifact metadata for completeness and accuracy. Check that all required fields are present.
