Artifact ID,Language,Content Type,Error,Retry Count,Timestamp,Recommended Action
hanging-pillar,en,audio_guide,A dynamic import callback was invoked without --experimental-vm-modules,2,2026-03-01T09:05:43.059Z,"Review error details and retry. If the issue persists, check logs for more information or contact support."
hanging-pillar,en,video,Validation failed: Video duration too short: ~1s (min: 60s),2,2026-03-01T09:05:46.223Z,Review artifact metadata for completeness and accuracy. Check that all required fields are present.
